:START_ID(Ingredient),:END_ID(Effect),type,evidence_type,graph_score:float,paper_count:int
CHITOSAN,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,1
LINALOOL,SOOTHING,reduces,pubmed_evidence,0.470004,1
NIACINAMIDE,DEPIGMENTING,improves,pubmed_evidence,0.215111,1
NIACINAMIDE,BARRIER_REPAIR,improves,pubmed_evidence,0.215111,2
SERINE,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,1
SODIUM ASCORBYL PHOSPHATE,WOUND_HEALING,improves,pubmed_evidence,0.271553,1
NIACINAMIDE,DEPIGMENTING,reduces,pubmed_evidence,0.392042,2
BISABOLOL,SOOTHING,reduces,pubmed_evidence,0.271553,1
BEESWAX,HYDRATING,improves,pubmed_evidence,0.392042,1
PROPOLIS CERA,HYDRATING,reduces,pubmed_evidence,0.392042,1
PANTOTHENIC ACID,BARRIER_REPAIR,improves,pubmed_evidence,0.271553,2
MAGNESIUM ASCORBYL PHOSPHATE,DEPIGMENTING,improves,pubmed_evidence,0.392042,1
FARNESOL,SOOTHING,reduces,pubmed_evidence,0.392042,1
OLUS OIL,HYDRATING,improves,pubmed_evidence,0.392042,1
HYDROLYZED JOJOBA ESTERS,HYDRATING,improves,pubmed_evidence,0.587787,3
HYDROLYZED JOJOBA ESTERS,HYDRATING,reduces,pubmed_evidence,0.392042,2
HEXYLRESORCINOL,SOOTHING,is_well_tolerated_for,pubmed_evidence,0.421994,1
HEXYLRESORCINOL,ANTI_AGING,reduces,pubmed_evidence,0.175633,1
HEXYLRESORCINOL,PHOTOPROTECTIVE,reduces,pubmed_evidence,0.175633,1
HEXYLRESORCINOL,DEPIGMENTING,reduces,pubmed_evidence,0.470004,1
PALMITAMIDE MEA,SOOTHING,reduces,pubmed_evidence,0.392042,1
TOCOTRIENOLS,BARRIER_REPAIR,improves,pubmed_evidence,0.392042,5
COLLOIDAL OATMEAL,SOOTHING,improves,pubmed_evidence,0.392042,2
COLLOIDAL OATMEAL,SOOTHING,is_well_tolerated_for,pubmed_evidence,0.350657,1
LAC,BARRIER_REPAIR,improves,pubmed_evidence,0.641854,2
SOY ISOFLAVONES,ANTI_AGING,improves,pubmed_evidence,0.451076,1
HESPERIDIN,BARRIER_REPAIR,improves,pubmed_evidence,0.329304,3
MAGNOLOL,SOOTHING,reduces,pubmed_evidence,0.392042,2
AMMONIUM LACTATE,BARRIER_REPAIR,improves,pubmed_evidence,0.392042,2
GLYCERIN,HYDRATING,reduces,pubmed_evidence,0.371564,1
ACETYL HEXAPEPTIDE-8,ANTI_AGING,improves,pubmed_evidence,0.587787,1
ACETYL HEXAPEPTIDE-8,HYDRATING,improves,pubmed_evidence,0.587787,1
ACETYL HEXAPEPTIDE-8,SEBUM_REGULATION,improves,pubmed_evidence,0.587787,1
TETRASILOXANE,SOOTHING,reduces,pubmed_evidence,0.392042,1
GLUCOSE,BARRIER_REPAIR,improves,pubmed_evidence,0.41871,1
TREHALOSE,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,2
XYLITOL,HYDRATING,improves,pubmed_evidence,0.371564,2
SERINE,ANTI_INFLAMMATORY,reduces,pubmed_evidence,0.329304,1
HISTIDINE,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,1
CERAMIDE NP,HYDRATING,improves,pubmed_evidence,0.371564,1
CERAMIDE NP,MOISTURE_RETENTION,reduces,pubmed_evidence,0.371564,1
METHIONINE,BARRIER_REPAIR,improves,pubmed_evidence,0.329304,1
POLYGLUTAMIC ACID,HYDRATING,improves,pubmed_evidence,0.371564,1
RETINOL,HYDRATING,improves,pubmed_evidence,0.371564,1
RETINOL,SOOTHING,reduces,pubmed_evidence,0.371564,1
BEESWAX,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,3
HYDROXYPROPYL CYCLODEXTRIN,SOOTHING,reduces,pubmed_evidence,0.371564,1
RETINOL,ANTI_INFLAMMATORY,reduces,pubmed_evidence,0.371564,1
ALPHA-ARBUTIN,DEPIGMENTING,improves,pubmed_evidence,0.371564,1
PARAFFINUM LIQUIDUM,MOISTURE_RETENTION,reduces,pubmed_evidence,0.470004,1
PANTOTHENIC ACID,SOOTHING,reduces,pubmed_evidence,0.271553,1
HONEY EXTRACT,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,1
MAGNESIUM CHLORIDE,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,1
PVP,SOOTHING,reduces,pubmed_evidence,0.41871,1
HYDROXYPINACOLONE RETINOATE,SOOTHING,improves,pubmed_evidence,0.371564,1
HEXAPEPTIDE-11,ANTI_AGING,improves,pubmed_evidence,0.470004,1
MANDELIC ACID,SEBUM_REGULATION,improves,pubmed_evidence,0.470004,1
POTENTILLA ANSERINA EXTRACT,HYDRATING,reduces,pubmed_evidence,0.392042,1
ROYAL JELLY EXTRACT,HYDRATING,improves,pubmed_evidence,0.693147,1
RUTIN,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,2
RUTIN,BARRIER_REPAIR,reduces,pubmed_evidence,0.371564,1
SALMON EGG EXTRACT,SOOTHING,improves,pubmed_evidence,0.693147,1
SALMON EGG EXTRACT,HYDRATING,improves,pubmed_evidence,0.693147,1
SALMON EGG EXTRACT,DEPIGMENTING,improves,pubmed_evidence,0.693147,1
SALMON EGG EXTRACT,ANTI_AGING,improves,pubmed_evidence,0.693147,1
FULLERENES,ANTI_AGING,improves,pubmed_evidence,0.371564,1
FULLERENES,PHOTOPROTECTIVE,improves,pubmed_evidence,0.371564,1
HYALURONIC ACID,ANTI_AGING,prevents,pubmed_evidence,0.371564,1
HYALURONIC ACID,PHOTOPROTECTIVE,prevents,pubmed_evidence,0.371564,1
PETROLATUM,HYDRATING,improves,pubmed_evidence,0.693147,1
PETROLATUM,BARRIER_REPAIR,improves,pubmed_evidence,0.693147,1
PETROLATUM,HYDRATING,reduces,pubmed_evidence,0.371564,1
PETROLATUM,SOOTHING,reduces,pubmed_evidence,0.693147,1
PETROLATUM,BARRIER_REPAIR,reduces,pubmed_evidence,0.371564,1
PETROLATUM,MOISTURE_RETENTION,reduces,pubmed_evidence,0.371564,1
TROXERUTIN,HYDRATING,improves,pubmed_evidence,0.371564,1
TROXERUTIN,BARRIER_REPAIR,improves,pubmed_evidence,0.641854,3
TROXERUTIN,SOOTHING,reduces,pubmed_evidence,0.470004,1
ASTAXANTHIN,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,1
HAEMATOCOCCUS PLUVIALIS EXTRACT,BARRIER_REPAIR,improves,pubmed_evidence,0.397097,1
HAEMATOCOCCUS PLUVIALIS EXTRACT,SOOTHING,reduces,pubmed_evidence,0.397097,1
COLLOIDAL OATMEAL,HYDRATING,improves,pubmed_evidence,0.65752,2
COLLOIDAL OATMEAL,BARRIER_REPAIR,improves,pubmed_evidence,0.8671,4
COLLOIDAL OATMEAL,SOOTHING,reduces,pubmed_evidence,0.175633,2
PROCOLLAGEN,ANTI_AGING,reduces,pubmed_evidence,0.19062,1
PROCOLLAGEN,PHOTOPROTECTIVE,reduces,pubmed_evidence,0.19062,1
TANNIC ACID,PHOTOPROTECTIVE,prevents,pubmed_evidence,0.371564,1
PARAFFIN,ANTI_AGING,improves,pubmed_evidence,0.470004,1
PARAFFIN,DEPIGMENTING,reduces,pubmed_evidence,0.470004,1
PENTAPEPTIDE-18,DEPIGMENTING,reduces,pubmed_evidence,0.175633,1
POTASSIUM LACTATE,HYDRATING,improves,pubmed_evidence,0.71784,2
2-MERCAPTONICOTINOYL GLYCINE,DEPIGMENTING,improves,pubmed_evidence,0.371564,1
LANOLIN,BARRIER_REPAIR,improves,pubmed_evidence,0.371564,2
MELANIN,SOOTHING,reduces,pubmed_evidence,0.371564,1
MELANIN,DEPIGMENTING,reduces,pubmed_evidence,0.371564,1
ROYAL JELLY,WOUND_HEALING,improves,pubmed_evidence,0.451076,1
RUSCOGENIN,HYDRATING,improves,pubmed_evidence,0.19062,1
RUSCOGENIN,BARRIER_REPAIR,improves,pubmed_evidence,0.329304,1
OLIGOPEPTIDE-68,DEPIGMENTING,improves,pubmed_evidence,0.392042,1
FIBRONECTIN,HYDRATING,improves,pubmed_evidence,0.559616,1
FIBRONECTIN,BARRIER_REPAIR,improves,pubmed_evidence,0.215111,2
FIBRONECTIN,HYDRATING,reduces,pubmed_evidence,0.559616,1
CAMELLIA SINENSIS FLOWER WATER,SEBUM_REGULATION,reduces,cosing_function,0.0,0
ACETYL TRIPEPTIDE-1,HYDRATING,improves,cosing_function,0.0,0
ACETYL TRIPEPTIDE-1,BARRIER_REPAIR,improves,cosing_function,0.0,0
OCIMUM BASILICUM FLOWER/LEAF/STEM EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
PENTAPEPTIDE-13,HYDRATING,improves,cosing_function,0.0,0
PENTAPEPTIDE-13,BARRIER_REPAIR,improves,cosing_function,0.0,0
SACCHARUM OFFICINARUM JUICE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SACCHARUM OFFICINARUM JUICE EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
POLIANTHES TUBEROSA FLOWER CERA,HYDRATING,improves,cosing_function,0.0,0
POLIANTHES TUBEROSA FLOWER CERA,BARRIER_REPAIR,improves,cosing_function,0.0,0
CRYPTOMERIA JAPONICA BRANCH/LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CRYPTOMERIA JAPONICA BRANCH/LEAF EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
CRYPTOMERIA JAPONICA BRANCH/LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ASIATICOSIDE,ANTIOXIDANT,improves,cosing_function,0.0,0
ASIATICOSIDE,ANTI_AGING,improves,cosing_function,0.0,0
ASIATICOSIDE,HYDRATING,improves,cosing_function,0.0,0
ASIATICOSIDE,BARRIER_REPAIR,improves,cosing_function,0.0,0
VANILLA PLANIFOLIA FRUIT WATER,HYDRATING,improves,cosing_function,0.0,0
VANILLA PLANIFOLIA FRUIT WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
DIPEPTIDE-2,HYDRATING,improves,cosing_function,0.0,0
DIPEPTIDE-2,BARRIER_REPAIR,improves,cosing_function,0.0,0
LACTOBACILLUS/CENTELLA ASIATICA EXTRACT FERMENT FILTRATE,HYDRATING,improves,cosing_function,0.0,0
LACTOBACILLUS/CENTELLA ASIATICA EXTRACT FERMENT FILTRATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
ORYZA SATIVA SEED WATER,ANTIMICROBIAL,reduces,cosing_function,0.0,0
ORYZA SATIVA SEED WATER,ANTIOXIDANT,improves,cosing_function,0.0,0
ORYZA SATIVA SEED WATER,ANTI_AGING,improves,cosing_function,0.0,0
ORYZA SATIVA SEED WATER,HYDRATING,improves,cosing_function,0.0,0
ORYZA SATIVA SEED WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
POLY(C20-28 OLEFIN),HYDRATING,improves,cosing_function,0.0,0
POLY(C20-28 OLEFIN),BARRIER_REPAIR,improves,cosing_function,0.0,0
4-PCA DIMETHICONE,HYDRATING,improves,cosing_function,0.0,0
4-PCA DIMETHICONE,BARRIER_REPAIR,improves,cosing_function,0.0,0
COIX LACRYMA-JOBI MA-YUEN LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
COIX LACRYMA-JOBI MA-YUEN LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PINUS BANKSIANA LEAF OIL,ANTIOXIDANT,improves,cosing_function,0.0,0
PINUS BANKSIANA LEAF OIL,ANTI_AGING,improves,cosing_function,0.0,0
RUBUS CHAMAEMORUS FRUIT JUICE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
RUBUS CHAMAEMORUS FRUIT JUICE EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
RUBUS CHAMAEMORUS FRUIT JUICE EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
MALVA SYLVESTRIS FLOWER EXTRACT,HYDRATING,improves,cosing_function,0.0,0
MALVA SYLVESTRIS FLOWER EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
BRASSICA OLERACEA VIRIDIS LEAF WATER,HYDRATING,improves,cosing_function,0.0,0
BRASSICA OLERACEA VIRIDIS LEAF WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
CINNAMOMUM CAMPHORA BARK OIL,HYDRATING,improves,cosing_function,0.0,0
CINNAMOMUM CAMPHORA BARK OIL,BARRIER_REPAIR,improves,cosing_function,0.0,0
CINNAMOMUM CAMPHORA BARK OIL,SEBUM_REGULATION,reduces,cosing_function,0.0,0
CAMELLIA SINENSIS CATECHINS,ANTIOXIDANT,improves,cosing_function,0.0,0
CAMELLIA SINENSIS CATECHINS,ANTI_AGING,improves,cosing_function,0.0,0
EPILOBIUM FLEISCHERI EXTRACT,HYDRATING,improves,cosing_function,0.0,0
EPILOBIUM FLEISCHERI EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
COCAMIDOPROPYL HYDROXYSULTAINE,HYDRATING,improves,cosing_function,0.0,0
COCAMIDOPROPYL HYDROXYSULTAINE,BARRIER_REPAIR,improves,cosing_function,0.0,0
CITRULLUS LANATUS FRUIT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CITRULLUS LANATUS FRUIT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
EUCALYPTUS CITRIODORA OIL,SEBUM_REGULATION,reduces,cosing_function,0.0,0
CITRUS UNSHIU EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CITRUS UNSHIU EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PORTULACA OLERACEA WATER,HYDRATING,improves,cosing_function,0.0,0
PORTULACA OLERACEA WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
TUBER MAGNATUM WATER,HYDRATING,improves,cosing_function,0.0,0
TUBER MAGNATUM WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
SILK WATER,HYDRATING,improves,cosing_function,0.0,0
SILK WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
SILK WATER,MOISTURE_RETENTION,improves,cosing_function,0.0,0
2-MERCAPTONICOTINOYL GLYCINE,HYDRATING,improves,cosing_function,0.0,0
2-MERCAPTONICOTINOYL GLYCINE,BARRIER_REPAIR,improves,cosing_function,0.0,0
S-CLOSTRIDIUM BOTULINUM OLIGOPEPTIDE-1,HYDRATING,improves,cosing_function,0.0,0
S-CLOSTRIDIUM BOTULINUM OLIGOPEPTIDE-1,BARRIER_REPAIR,improves,cosing_function,0.0,0
OPUNTIA FICUS-INDICA STEM WATER,HYDRATING,improves,cosing_function,0.0,0
OPUNTIA FICUS-INDICA STEM WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
CHAMAECYPARIS OBTUSA BRANCH/LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CHAMAECYPARIS OBTUSA BRANCH/LEAF EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
CHAMAECYPARIS OBTUSA BRANCH/LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYALURONIC ACID/POLYISOPROPYLACRYLAMIDE COPOLYMER,HYDRATING,improves,cosing_function,0.0,0
HYALURONIC ACID/POLYISOPROPYLACRYLAMIDE COPOLYMER,MOISTURE_RETENTION,improves,cosing_function,0.0,0
HYALURONIC ACID/POLYISOPROPYLACRYLAMIDE COPOLYMER,BARRIER_REPAIR,improves,cosing_function,0.0,0
SH-POLYPEPTIDE-138,HYDRATING,improves,cosing_function,0.0,0
SH-POLYPEPTIDE-138,BARRIER_REPAIR,improves,cosing_function,0.0,0
LILIUM TIGRINUM BULB EXTRACT,HYDRATING,improves,cosing_function,0.0,0
LILIUM TIGRINUM BULB EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
BETA-ALANYL HYDROXYPROLYLDIAMINOBUTYROYL BENZYLAMIDE,HYDRATING,improves,cosing_function,0.0,0
BETA-ALANYL HYDROXYPROLYLDIAMINOBUTYROYL BENZYLAMIDE,BARRIER_REPAIR,improves,cosing_function,0.0,0
ACETYL TRIPEPTIDE-53 AMIDE,HYDRATING,improves,cosing_function,0.0,0
ACETYL TRIPEPTIDE-53 AMIDE,BARRIER_REPAIR,improves,cosing_function,0.0,0
FICUS CARICA BARK EXTRACT,HYDRATING,improves,cosing_function,0.0,0
FICUS CARICA BARK EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ORYZA SATIVA SEED EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
ORYZA SATIVA SEED EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
ORYZA SATIVA SEED EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ORYZA SATIVA SEED EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
GYPSOPHILA VACCARIA FLOWER/LEAF/STEM EXTRACT,HYDRATING,improves,cosing_function,0.0,0
GYPSOPHILA VACCARIA FLOWER/LEAF/STEM EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
PISTACIA LENTISCUS LEAF CERA,BARRIER_REPAIR,improves,cosing_function,0.0,0
PISTACIA LENTISCUS LEAF CERA,SOOTHING,improves,cosing_function,0.0,0
MUSA PARADISIACA FRUIT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
LACTOBACILLUS/PROPOLIS FERMENT FILTRATE,HYDRATING,improves,cosing_function,0.0,0
LACTOBACILLUS/PROPOLIS FERMENT FILTRATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
CENTELLA ASIATICA PROTEIN EXTRACT,HYDRATING,improves,cosing_function,0.0,0
CENTELLA ASIATICA PROTEIN EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SCHISANDRA CHINENSIS FRUIT WATER,HYDRATING,improves,cosing_function,0.0,0
SCHISANDRA CHINENSIS FRUIT WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
ACETYL OLIGOPEPTIDE-99 AMIDE,HYDRATING,improves,cosing_function,0.0,0
ACETYL OLIGOPEPTIDE-99 AMIDE,BARRIER_REPAIR,improves,cosing_function,0.0,0
SALVIA MILTIORRHIZA FLOWER/LEAF/ROOT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SALVIA MILTIORRHIZA FLOWER/LEAF/ROOT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CURCUMA LONGA CALLUS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
CURCUMA LONGA CALLUS EXTRACT,SOOTHING,improves,cosing_function,0.0,0
MENTHA ROTUNDIFOLIA LEAF EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
HEXAPEPTIDE-3,HYDRATING,improves,cosing_function,0.0,0
HEXAPEPTIDE-3,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYALURONIC ACID/HYDROLYZED COLLAGEN CROSSPOLYMER,HYDRATING,improves,cosing_function,0.0,0
HYALURONIC ACID/HYDROLYZED COLLAGEN CROSSPOLYMER,BARRIER_REPAIR,improves,cosing_function,0.0,0
SOLANUM LYCOPERSICUM FRUIT VESICLES,HYDRATING,improves,cosing_function,0.0,0
SOLANUM LYCOPERSICUM FRUIT VESICLES,BARRIER_REPAIR,improves,cosing_function,0.0,0
CENTELLA ASIATICA JUICE,HYDRATING,improves,cosing_function,0.0,0
CENTELLA ASIATICA JUICE,BARRIER_REPAIR,improves,cosing_function,0.0,0
ORYZA SATIVA BRAN WAX,HYDRATING,improves,cosing_function,0.0,0
ORYZA SATIVA BRAN WAX,BARRIER_REPAIR,improves,cosing_function,0.0,0
PRIMULA VERIS EXTRACT,HYDRATING,improves,cosing_function,0.0,0
PRIMULA VERIS EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
ALCHEMILLA VULGARIS FLOWER/LEAF/STEM EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
ALCHEMILLA VULGARIS FLOWER/LEAF/STEM EXTRACT,HYDRATING,improves,cosing_function,0.0,0
ALCHEMILLA VULGARIS FLOWER/LEAF/STEM EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
SOLANUM TUBEROSUM FLOWER EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SOLANUM TUBEROSUM FLOWER EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
HOUTTUYNIA CORDATA VESICLES,HYDRATING,improves,cosing_function,0.0,0
HOUTTUYNIA CORDATA VESICLES,BARRIER_REPAIR,improves,cosing_function,0.0,0
SACCHAROMYCES/HEXAPEPTIDE-11 FERMENT FILTRATE EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SACCHAROMYCES/HEXAPEPTIDE-11 FERMENT FILTRATE EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
DILAURAMIDO ISOPROPANOL,BARRIER_REPAIR,improves,cosing_function,0.0,0
DILAURAMIDO ISOPROPANOL,SOOTHING,improves,cosing_function,0.0,0
DILAURAMIDO ISOPROPANOL,HYDRATING,improves,cosing_function,0.0,0
SALIX ALBA EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SALIX ALBA EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
MILK EXOSOMES,HYDRATING,improves,cosing_function,0.0,0
MILK EXOSOMES,BARRIER_REPAIR,improves,cosing_function,0.0,0
CENTELLA ASIATICA LEAF VESICLES,HYDRATING,improves,cosing_function,0.0,0
CENTELLA ASIATICA LEAF VESICLES,BARRIER_REPAIR,improves,cosing_function,0.0,0
ABELIOPHYLLUM DISTICHUM WATER,HYDRATING,improves,cosing_function,0.0,0
ABELIOPHYLLUM DISTICHUM WATER,BARRIER_REPAIR,improves,cosing_function,0.0,0
SOYMILK EXTRACT,ANTIOXIDANT,improves,cosing_function,0.0,0
SOYMILK EXTRACT,ANTI_AGING,improves,cosing_function,0.0,0
SOYMILK EXTRACT,HYDRATING,improves,cosing_function,0.0,0
SOYMILK EXTRACT,MOISTURE_RETENTION,improves,cosing_function,0.0,0
SOYMILK EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
OENOTHERA BIENNIS FLOWER/LEAF/STEM EXTRACT,HYDRATING,improves,cosing_function,0.0,0
OENOTHERA BIENNIS FLOWER/LEAF/STEM EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
FOENICULUM VULGARE FRUIT EXTRACT,HYDRATING,improves,cosing_function,0.0,0
FOENICULUM VULGARE FRUIT EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
FOENICULUM VULGARE FRUIT EXTRACT,SOOTHING,reduces,cosing_function,0.0,0
FOENICULUM VULGARE FRUIT EXTRACT,ANTI_INFLAMMATORY,reduces,cosing_function,0.0,0
FOENICULUM VULGARE FRUIT EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
ELASTIN,HYDRATING,improves,cosing_function,0.0,0
ELASTIN,BARRIER_REPAIR,improves,cosing_function,0.0,0
HYDRANGEA MACROPHYLLA LEAF VESICLES,HYDRATING,improves,cosing_function,0.0,0
HYDRANGEA MACROPHYLLA LEAF VESICLES,BARRIER_REPAIR,improves,cosing_function,0.0,0
PANAX GINSENG VESICLES,BARRIER_REPAIR,improves,cosing_function,0.0,0
PANAX GINSENG VESICLES,SOOTHING,improves,cosing_function,0.0,0
PANAX GINSENG VESICLES,HYDRATING,improves,cosing_function,0.0,0
SH-OLIGOPEPTIDE-32 SP,HYDRATING,improves,cosing_function,0.0,0
SH-OLIGOPEPTIDE-32 SP,BARRIER_REPAIR,improves,cosing_function,0.0,0
GAULTHERIA PROCUMBENS LEAF EXTRACT,HYDRATING,improves,cosing_function,0.0,0
GAULTHERIA PROCUMBENS LEAF EXTRACT,BARRIER_REPAIR,improves,cosing_function,0.0,0
GAULTHERIA PROCUMBENS LEAF EXTRACT,SEBUM_REGULATION,reduces,cosing_function,0.0,0
HYDROXYMETHOXYPHENYL DECANONE,HYDRATING,improves,cosing_function,0.0,0
HYDROXYMETHOXYPHENYL DECANONE,BARRIER_REPAIR,improves,cosing_function,0.0,0
FUSIDIUM COCCINEUM FERMENT LYSATE EXTRACT FILTRATE,HYDRATING,improves,cosing_function,0.0,0
FUSIDIUM COCCINEUM FERMENT LYSATE EXTRACT FILTRATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
ENHYDROBACTER AEROSACCUS FERMENT EXTRACT FILTRATE,HYDRATING,improves,cosing_function,0.0,0
ENHYDROBACTER AEROSACCUS FERMENT EXTRACT FILTRATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
ASCORBYLPROPYL HYDROLYZED HYALURONATE,HYDRATING,improves,cosing_function,0.0,0
ASCORBYLPROPYL HYDROLYZED HYALURONATE,MOISTURE_RETENTION,improves,cosing_function,0.0,0
ASCORBYLPROPYL HYDROLYZED HYALURONATE,BARRIER_REPAIR,improves,cosing_function,0.0,0
ASCORBYLPROPYL HYDROLYZED HYALURONATE,SOOTHING,improves,cosing_function,0.0,0
ASCORBYL ASIATATE,ANTIOXIDANT,improves,cosing_function,0.0,0
ASCORBYL ASIATATE,ANTI_AGING,improves,cosing_function,0.0,0
