ingredient_id:ID(Ingredient),inci_name,kor_name,cosing_functions:string[]
AQUA,AQUA,정제수,SOLVENT
GLYCERIN,GLYCERIN,글리세린,DENATURANT;HAIR CONDITIONING;HUMECTANT;ORAL CARE;SKIN PROTECTING;SOLVENT;VISCOSITY CONTROLLING;PERFUMING;FRAGRANCE;SKIN CONDITIONING - HUMECTANT
"1,2-HEXANEDIOL","1,2-HEXANEDIOL","1,2-헥산다이올",SKIN CONDITIONING;SOLVENT
BUTYLENE GLYCOL,BUTYLENE GLYCOL,부틸렌글라이콜,HUMECTANT;FRAGRANCE;SKIN CONDITIONING;SOLVENT;VISCOSITY CONTROLLING
ETHYLHEXYLGLYCERIN,ETHYLHEXYLGLYCERIN,에틸헥실글리세린,DEODORANT;SKIN CONDITIONING
SODIUM HYALURONATE,SODIUM HYALURONATE,소듐하이알루로네이트,HUMECTANT;SKIN CONDITIONING
DISODIUM EDTA,DISODIUM EDTA,다이소듐이디티에이,CHELATING;VISCOSITY CONTROLLING
PANTHENOL,PANTHENOL,덱스판테놀,ANTISTATIC;HAIR CONDITIONING;SKIN CONDITIONING
TOCOPHEROL,TOCOPHEROL,토코페롤,ANTIOXIDANT;FRAGRANCE;SKIN CONDITIONING - MISCELLANEOUS;SKIN CONDITIONING - OCCLUSIVE
PROPANEDIOL,PROPANEDIOL,프로판다이올,SOLVENT;VISCOSITY CONTROLLING
NIACINAMIDE,NIACINAMIDE,나이아신아마이드,SMOOTHING
HYDROGENATED LECITHIN,HYDROGENATED LECITHIN,하이드로제네이티드레시틴,SURFACTANT - EMULSIFYING;SKIN CONDITIONING
CAPRYLIC/CAPRIC TRIGLYCERIDE,CAPRYLIC/CAPRIC TRIGLYCERIDE,카프릴릭/카프릭트라이글리세라이드,FRAGRANCE;SOLVENT;PERFUMING;SKIN CONDITIONING - OCCLUSIVE
ADENOSINE,ADENOSINE,아데노신,SKIN CONDITIONING
XANTHAN GUM,XANTHAN GUM,잔탄검,BINDING;SURFACTANT - EMULSIFYING;EMULSION STABILISING;GEL FORMING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
nan,nan,쿠르쿠마 카이시아뿌리추출물,
CAPRYLYL GLYCOL,CAPRYLYL GLYCOL,카프릴릴글라이콜,DEODORANT;SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;SKIN CONDITIONING
DIPROPYLENE GLYCOL,DIPROPYLENE GLYCOL,다이프로필렌글라이콜,FRAGRANCE;SOLVENT;VISCOSITY CONTROLLING;PERFUMING
CITRIC ACID,CITRIC ACID,시트릭애씨드,BUFFERING;CHELATING;FRAGRANCE
PENTYLENE GLYCOL,PENTYLENE GLYCOL,펜틸렌글라이콜,SKIN CONDITIONING;SOLVENT
TROMETHAMINE,TROMETHAMINE,트로메타민,BUFFERING;FRAGRANCE
CERAMIDE NP,CERAMIDE NP,세라마이드엔피,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS
ALLANTOIN,ALLANTOIN,알란토인,SKIN CONDITIONING;SKIN PROTECTING;SOOTHING
POLYACRYLIC ACID,POLYACRYLIC ACID,폴리아크릴릭애씨드,BINDING;EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING
HYDROLYZED HYALURONIC ACID,HYDROLYZED HYALURONIC ACID,하이드롤라이즈드하이알루로닉애씨드,HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING
ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING
CENTELLA ASIATICA LEAF/STEM EXTRACT,CENTELLA ASIATICA LEAF/STEM EXTRACT,병풀잎/줄기추출물,SKIN CONDITIONING - HUMECTANT
HYALURONIC ACID,HYALURONIC ACID,하이알루로닉애씨드,ANTISTATIC;HUMECTANT;MOISTURISING;SKIN CONDITIONING
BETAINE,BETAINE,베타인,HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING - HUMECTANT
ARGININE,ARGININE,알지닌,ANTISTATIC;HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING
GLYCERYL STEARATE,GLYCERYL STEARATE,글리세릴스테아레이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING
LIMONENE,LIMONENE,리모넨,DEODORANT;SOLVENT;PERFUMING
CETEARYL ALCOHOL,CETEARYL ALCOHOL,세테아릴알코올,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;EMULSION STABILISING;SURFACTANT - FOAM BOOSTING;OPACIFYING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
SQUALANE,SQUALANE,스쿠알란,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;REFATTING;SKIN CONDITIONING
LINALOOL,LINALOOL,리날룰,DEODORANT;PERFUMING
SODIUM HYALURONATE CROSSPOLYMER,SODIUM HYALURONATE CROSSPOLYMER,소듐하이알루로네이트크로스폴리머,HUMECTANT;SKIN CONDITIONING
STEARIC ACID,STEARIC ACID,스테아릭애씨드,CLEANSING;SURFACTANT - EMULSIFYING;EMULSION STABILISING;FRAGRANCE;REFATTING;SURFACTANT - CLEANSING
SODIUM ACETYLATED HYALURONATE,SODIUM ACETYLATED HYALURONATE,소듐아세틸레이티드하이알루로네이트,HUMECTANT
HYDROXYACETOPHENONE,HYDROXYACETOPHENONE,하이드록시아세토페논,ANTIOXIDANT
SODIUM CHLORIDE,SODIUM CHLORIDE,씨솔트,BULKING;FRAGRANCE;ORAL CARE;VISCOSITY CONTROLLING
MADECASSOSIDE,MADECASSOSIDE,마데카소사이드,ANTIOXIDANT;SKIN CONDITIONING
METHYLPROPANEDIOL,METHYLPROPANEDIOL,메틸프로판다이올,SOLVENT
BETA-GLUCAN,BETA-GLUCAN,베타-글루칸,BULKING;SKIN CONDITIONING - MISCELLANEOUS
AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER,AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,VISCOSITY CONTROLLING
PHENOXYETHANOL,PHENOXYETHANOL,페녹시에탄올,ANTIMICROBIAL;PRESERVATIVE
HELIANTHUS ANNUUS HYBRID OIL,HELIANTHUS ANNUUS HYBRID OIL,해바라기하이브리드오일,SKIN CONDITIONING - EMOLLIENT
DIPOTASSIUM GLYCYRRHIZATE,DIPOTASSIUM GLYCYRRHIZATE,다이포타슘글리시리제이트,HUMECTANT;SKIN CONDITIONING
HYDROXYPROPYLTRIMONIUM HYALURONATE,HYDROXYPROPYLTRIMONIUM HYALURONATE,하이드록시프로필트라이모늄하이알루로네이트,FILM FORMING
DEXTRIN,DEXTRIN,덱스트린,ABSORBENT;BINDING;BULKING;VISCOSITY CONTROLLING
TETRASILOXANE,TETRASILOXANE,다이메티콘,ANTIFOAMING
SODIUM CITRATE,SODIUM CITRATE,소듐시트레이트,BUFFERING;CHELATING;FRAGRANCE
POLYGLYCERYL-10 LAURATE,POLYGLYCERYL-10 LAURATE,폴리글리세릴-5라우레이트,SKIN CONDITIONING - MISCELLANEOUS;SURFACTANT - EMULSIFYING
SORBITAN OLIVATE,SORBITAN OLIVATE,솔비탄올리베이트,SURFACTANT - EMULSIFYING
HYDROLYZED SODIUM HYALURONATE,HYDROLYZED SODIUM HYALURONATE,하이드롤라이즈드소듐하이알루로네이트,SKIN CONDITIONING
ASIATICOSIDE,ASIATICOSIDE,아시아티코사이드비,ANTIOXIDANT;SKIN CONDITIONING;PERFUMING
CHOLESTEROL,CHOLESTEROL,콜레스테롤,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING;LIGHT STABILIZER;VISCOSITY CONTROLLING
PALMITIC ACID,PALMITIC ACID,팔미틱애씨드,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING
CETYL ETHYLHEXANOATE,CETYL ETHYLHEXANOATE,세틸에틸헥사노에이트,SKIN CONDITIONING - EMOLLIENT
CAMELLIA SINENSIS FLOWER WATER,CAMELLIA SINENSIS FLOWER WATER,백차추출물,ANTI-SEBUM
SALICYLIC ACID,SALICYLIC ACID,살리실릭애씨드,ANTI-SEBORRHEIC;HAIR CONDITIONING;KERATOLYTIC;FRAGRANCE;PRESERVATIVE;SKIN CONDITIONING
TREHALOSE,TREHALOSE,트레할로오스,HUMECTANT;MOISTURISING
BUTYROSPERMUM PARKII NUT SHELL POWDER,BUTYROSPERMUM PARKII NUT SHELL POWDER,시어버터나무너트껍질가루,ABRASIVE
HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,EMULSION STABILISING;VISCOSITY CONTROLLING
GLUCOSE,GLUCOSE,글루코오스,HUMECTANT
SODIUM PHYTATE,SODIUM PHYTATE,소듐파이테이트,CHELATING;ORAL CARE
SORBITAN ISOSTEARATE,SORBITAN ISOSTEARATE,솔비탄아이소스테아레이트,SURFACTANT - EMULSIFYING
TOCOPHERYL ACETATE,TOCOPHERYL ACETATE,토코페릴아세테이트,ANTIOXIDANT;SKIN CONDITIONING
MADECASSIC ACID,MADECASSIC ACID,마데카식애씨드,SKIN CONDITIONING
CETEARYL OLIVATE,CETEARYL OLIVATE,세테아릴올리베이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;EMULSION STABILISING;HAIR CONDITIONING;SLIP MODIFIER
ASIATIC ACID,ASIATIC ACID,아시아틱애씨드,SKIN CONDITIONING;LIGHT STABILIZER
GLUCONOLACTONE,GLUCONOLACTONE,글루코노락톤,CHELATING;SKIN CONDITIONING
SODIUM HYDROXIDE,SODIUM HYDROXIDE,소듐하이드록사이드,BUFFERING;DENATURANT
POTASSIUM HYALURONATE,POTASSIUM HYALURONATE,포타슘하이알루로네이트,SKIN CONDITIONING
OLEA EUROPAEA BUD EXTRACT,OLEA EUROPAEA BUD EXTRACT,올리브불검화물,ANTIOXIDANT;SKIN CONDITIONING - EMOLLIENT
SIMMONDSIA CHINENSIS SEED WAX,SIMMONDSIA CHINENSIS SEED WAX,호호바씨왁스,HAIR CONDITIONING;SKIN CONDITIONING;VISCOSITY CONTROLLING
MELIA AZADIRACHTA LEAF EXTRACT,MELIA AZADIRACHTA LEAF EXTRACT,인도멀구슬나무잎추출물,SKIN CONDITIONING
SODIUM BENZOATE,SODIUM BENZOATE,에스에이치-헥사펩타이드-2,ANTICORROSIVE;FRAGRANCE;PRESERVATIVE
MACADAMIA INTEGRIFOLIA SEED OIL,MACADAMIA INTEGRIFOLIA SEED OIL,퀸즈랜드넛오일,SKIN CONDITIONING
CITRONELLOL,CITRONELLOL,시트로넬올,PERFUMING
GLYCERYL CAPRYLATE,GLYCERYL CAPRYLATE,글리세릴카프릴레이트,DEODORANT;SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING
MELIA AZADIRACHTA FLOWER EXTRACT,MELIA AZADIRACHTA FLOWER EXTRACT,인도멀구슬나무꽃추출물,SKIN CONDITIONING
MYRISTIC ACID,MYRISTIC ACID,미리스틱애씨드,PERFUMING;FRAGRANCE;OPACIFYING;SURFACTANT - CLEANSING
LACTOBACILLUS FERMENT,LACTOBACILLUS FERMENT,락토바실러스발효물,SKIN CONDITIONING
POTASSIUM HYDROXIDE,POTASSIUM HYDROXIDE,포타슘하이드록사이드,BUFFERING
SODIUM POLYACRYLATE,SODIUM POLYACRYLATE,소듐폴리아크릴레이트,ABSORBENT;BINDING;SKIN CONDITIONING - EMOLLIENT;EMULSION STABILISING;FILM FORMING;HAIR FIXING;SKIN CONDITIONING;VISCOSITY CONTROLLING
BEHENYL ALCOHOL,BEHENYL ALCOHOL,베헤닐알코올,BINDING;SKIN CONDITIONING - EMOLLIENT;EMULSION STABILISING;VISCOSITY CONTROLLING
GERANIOL,GERANIOL,제라니올,TONIC;PERFUMING
GLYCERETH-12,GLYCERETH-12,글리세레스-8,HUMECTANT;VISCOSITY CONTROLLING
ASCORBIC ACID,ASCORBIC ACID,아스코빅애씨드,ANTIOXIDANT;BUFFERING;FRAGRANCE;SKIN CONDITIONING
MALTODEXTRIN,MALTODEXTRIN,말토덱스트린,ABSORBENT;BINDING;EMULSION STABILISING;FILM FORMING;HAIR CONDITIONING;SKIN CONDITIONING
ETHYLHEXYL PALMITATE,ETHYLHEXYL PALMITATE,에틸헥실팔미테이트,SKIN CONDITIONING - EMOLLIENT;PERFUMING
ACETYL HEXAPEPTIDE-8,ACETYL HEXAPEPTIDE-8,아세틸헥사펩타이드-24아마이드,HUMECTANT;SKIN CONDITIONING
SOLUM DIATOMEAE,SOLUM DIATOMEAE,실리카,ABRASIVE;ABSORBENT;ANTICAKING;OPACIFYING
CURCUMA LONGA CALLUS EXTRACT,CURCUMA LONGA CALLUS EXTRACT,울금캘러스추출물,SKIN PROTECTING
XYLITOL,XYLITOL,자일리톨,ANTI-SEBORRHEIC;DEODORANT;HUMECTANT;FLAVOURING;SKIN CONDITIONING - HUMECTANT
CAPRYLOYL SALICYLIC ACID,CAPRYLOYL SALICYLIC ACID,카프릴로일살리실릭애씨드,SKIN CONDITIONING
LAURIC ACID,LAURIC ACID,라우릭애씨드,CLEANSING;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
LECITHIN,LECITHIN,레시틴,ANTISTATIC;SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING
PORTULACA OLERACEA FLOWER/LEAF/STEM EXTRACT,PORTULACA OLERACEA FLOWER/LEAF/STEM EXTRACT,쇠비름꽃/잎/줄기추출물,ANTIOXIDANT;SKIN CONDITIONING
HOUTTUYNIA CORDATA EXTRACT,HOUTTUYNIA CORDATA EXTRACT,약모밀꽃/잎/줄기수,SKIN CONDITIONING
ALCOHOL,ALCOHOL,에탄올,ANTIFOAMING;ANTIMICROBIAL;ASTRINGENT;FRAGRANCE;SOLVENT;VISCOSITY CONTROLLING
SCUTELLARIA BAICALENSIS EXTRACT,SCUTELLARIA BAICALENSIS EXTRACT,황금전초추출물,ANTIMICROBIAL
GLYCINE,GLYCINE,글라이신,ANTISTATIC;BUFFERING;HAIR CONDITIONING;SKIN CONDITIONING
GLYCERYL ACRYLATE/ACRYLIC ACID COPOLYMER,GLYCERYL ACRYLATE/ACRYLIC ACID COPOLYMER,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,HUMECTANT;VISCOSITY CONTROLLING
ULMUS DAVIDIANA ROOT EXTRACT,ULMUS DAVIDIANA ROOT EXTRACT,느릅나무뿌리추출물,SKIN CONDITIONING
CITRUS AURANTIUM BERGAMIA FRUIT OIL,CITRUS AURANTIUM BERGAMIA FRUIT OIL,베르가모트오일,FRAGRANCE;PERFUMING
HYDROGENATED POLYDECENE,HYDROGENATED POLYDECENE,하이드로제네이티드폴리데센,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING;SOLVENT;PERFUMING
GLUTATHIONE,GLUTATHIONE,글루타티온,REDUCING
FICUS CARICA BARK EXTRACT,FICUS CARICA BARK EXTRACT,무화과나무잎추출물,SKIN CONDITIONING
POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE,POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE,폴리글리세릴-3메틸글루코오스다이스테아레이트,SURFACTANT - EMULSIFYING
PHYTOSPHINGOSINE,PHYTOSPHINGOSINE,피토스핑고신,HAIR CONDITIONING;SKIN CONDITIONING
SERINE,SERINE,세린,ANTISTATIC;HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING
CITRAL,CITRAL,시트랄,FRAGRANCE;PERFUMING;FLAVOURING
FRUCTOOLIGOSACCHARIDES,FRUCTOOLIGOSACCHARIDES,프룩토올리고사카라이드,HUMECTANT;SKIN CONDITIONING
HYDROXYETHYLCELLULOSE,HYDROXYETHYLCELLULOSE,하이드록시에틸셀룰로오스,BINDING;EMULSION STABILISING;FILM FORMING;LIGHT STABILIZER;VISCOSITY CONTROLLING
VINYL DIMETHICONE,VINYL DIMETHICONE,비닐다이메티콘,VISCOSITY CONTROLLING
HYDROLYZED CORALLINA OFFICINALIS,HYDROLYZED CORALLINA OFFICINALIS,하이드롤라이즈드참산호말,SKIN CONDITIONING - MISCELLANEOUS
HYDROLYZED SERICIN,HYDROLYZED SERICIN,하이드롤라이즈드태반단백질,HAIR CONDITIONING;SKIN CONDITIONING
SODIUM STEAROYL GLUTAMATE,SODIUM STEAROYL GLUTAMATE,소듐스테아로일글루타메이트,CLEANSING;SURFACTANT - EMULSIFYING;HAIR CONDITIONING;SKIN CONDITIONING
OCIMUM SANCTUM LEAF EXTRACT,OCIMUM SANCTUM LEAF EXTRACT,홀리바질잎추출물,SKIN CONDITIONING
GLUTAMIC ACID,GLUTAMIC ACID,글루타믹애씨드,ANTISTATIC;HAIR CONDITIONING;HUMECTANT
COPPER TRIPEPTIDE-1,COPPER TRIPEPTIDE-1,카퍼트라이펩타이드-1,SKIN CONDITIONING
TRIETHYLHEXANOIN,TRIETHYLHEXANOIN,트라이에틸헥사노인,HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING;PERFUMING
GARDENIA FLORIDA FRUIT EXTRACT,GARDENIA FLORIDA FRUIT EXTRACT,치자추출물,SKIN CONDITIONING
LAVANDULA ANGUSTIFOLIA OIL,LAVANDULA ANGUSTIFOLIA OIL,라벤더오일,FRAGRANCE;TONIC
PEG-10 SORBITAN LAURATE,PEG-10 SORBITAN LAURATE,피이지-44솔비탄라우레이트,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING
ROSMARINUS OFFICINALIS LEAF OIL,ROSMARINUS OFFICINALIS LEAF OIL,로즈마리잎오일,FRAGRANCE;SKIN CONDITIONING
DNA,DNA,디엔에이,SKIN CONDITIONING
SORBITOL,SORBITOL,솔비톨,HUMECTANT;FRAGRANCE;SKIN CONDITIONING;PERFUMING
POLYGLYCERYL-10 HEXAOLEATE,POLYGLYCERYL-10 HEXAOLEATE,폴리글리세릴-10헥사올리에이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING
SODIUM COCOYL ISETHIONATE,SODIUM COCOYL ISETHIONATE,소듐코코일이세티오네이트,CLEANSING;HAIR CONDITIONING;SURFACTANT - CLEANSING
PALMITOYL PENTAPEPTIDE-4,PALMITOYL PENTAPEPTIDE-4,팔미토일펜타펩타이드-4,SKIN CONDITIONING
PELARGONIUM GRAVEOLENS FLOWER OIL,PELARGONIUM GRAVEOLENS FLOWER OIL,센티드제라늄꽃오일,FRAGRANCE
PROPYLENE GLYCOL,PROPYLENE GLYCOL,프로필렌글라이콜,HUMECTANT;FRAGRANCE;SOLVENT;VISCOSITY CONTROLLING;SKIN CONDITIONING - HUMECTANT;SKIN CONDITIONING - MISCELLANEOUS
LACTOBACILLUS FERMENT LYSATE,LACTOBACILLUS FERMENT LYSATE,락토바실러스발효용해물,SKIN CONDITIONING
GLYCYRRHIZA GLABRA RHIZOME/ROOT EXTRACT,GLYCYRRHIZA GLABRA RHIZOME/ROOT EXTRACT,스페인감초뿌리줄기/뿌리추출물,SKIN CONDITIONING
POTASSIUM COCOYL GLYCINATE,POTASSIUM COCOYL GLYCINATE,포타슘코코일글리시네이트,HAIR CONDITIONING;SURFACTANT - CLEANSING
POLYGLYCERYL-2 SESQUISTEARATE,POLYGLYCERYL-2 SESQUISTEARATE,폴리글리세릴-5트라이스테아레이트,SURFACTANT - EMULSIFYING
DECYL GLUCOSIDE,DECYL GLUCOSIDE,데실글루코사이드,CLEANSING;EMULSION STABILISING;SURFACTANT - CLEANSING
CYANOCOBALAMIN,CYANOCOBALAMIN,사이아노코발아민,SKIN CONDITIONING
POTASSIUM SORBATE,POTASSIUM SORBATE,포타슘솔베이트,FRAGRANCE;PRESERVATIVE
PEG-3 SORBITAN STEARATE,PEG-3 SORBITAN STEARATE,피이지-3솔비탄스테아레이트,SURFACTANT - EMULSIFYING
OCTYLDODECANOL,OCTYLDODECANOL,옥틸도데칸올,SKIN CONDITIONING - EMOLLIENT;FRAGRANCE;SOLVENT;PERFUMING
HEXYLENE GLYCOL,HEXYLENE GLYCOL,헥실렌글라이콜,SURFACTANT - EMULSIFYING;SKIN CONDITIONING;SOLVENT;SURFACTANT - CLEANSING;PERFUMING
CAFFEINE,CAFFEINE,카페인,SKIN CONDITIONING;PERFUMING;FRAGRANCE
PALMITOYL TRIPEPTIDE-1,PALMITOYL TRIPEPTIDE-1,팔미토일트라이펩타이드-1,SKIN CONDITIONING
CITRUS AURANTIUM DULCIS OIL,CITRUS AURANTIUM DULCIS OIL,오렌지오일,FRAGRANCE
POLYQUATERNIUM-51,POLYQUATERNIUM-51,폴리쿼터늄-51,FILM FORMING;SKIN CONDITIONING
HYDROGENATED POLY(C6-14 OLEFIN),HYDROGENATED POLY(C6-14 OLEFIN),하이드로제네이티드폴리(C6-14올레핀),SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;VISCOSITY CONTROLLING
ROSMARINUS OFFICINALIS FLOWER CERA,ROSMARINUS OFFICINALIS FLOWER CERA,로즈마리꽃/잎/줄기추출물,FRAGRANCE
SUCROSE,SUCROSE,수크로오스,HUMECTANT;SKIN CONDITIONING;SOOTHING
ALANINE,ALANINE,알라닌,ANTISTATIC;HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING
GLYCERYL GLUCOSIDE,GLYCERYL GLUCOSIDE,글리세릴글루코사이드,HUMECTANT;SKIN CONDITIONING
HYDROGENATED POLYISOBUTENE,HYDROGENATED POLYISOBUTENE,하이드로제네이티드폴리아이소부텐,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;VISCOSITY CONTROLLING
PUERARIA LOBATA FLOWER EXTRACT,PUERARIA LOBATA FLOWER EXTRACT,칡전분,SKIN CONDITIONING
PROLINE,PROLINE,프롤린,HAIR CONDITIONING;SKIN CONDITIONING
GLYCINE SOJA OIL,GLYCINE SOJA OIL,돌콩오일,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;PERFUMING
LACTIC ACID,LACTIC ACID,락틱애씨드,BUFFERING;HUMECTANT;SKIN CONDITIONING
PEG-18 STEARATE,PEG-18 STEARATE,피이지-80스테아레이트,SURFACTANT - EMULSIFYING
HISTIDINE,HISTIDINE,히스티딘,ANTISTATIC;HUMECTANT;SKIN CONDITIONING
SALIX ALBA EXTRACT,SALIX ALBA EXTRACT,흰버드나무추출물,SKIN CONDITIONING
MANNITOL,MANNITOL,만니톨,BINDING;HUMECTANT;FRAGRANCE;MOISTURISING;SKIN CONDITIONING
CERAMIDE AP,CERAMIDE AP,카프로일스핑고신,HAIR CONDITIONING;SKIN CONDITIONING
CETYL ALCOHOL,CETYL ALCOHOL,세틸알코올,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;EMULSION STABILISING;SURFACTANT - FOAM BOOSTING;FRAGRANCE;OPACIFYING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
MALUS DOMESTICA FRUIT WATER,MALUS DOMESTICA FRUIT WATER,사과추출물,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING
SODIUM POLYACRYLOYLDIMETHYL TAURATE,SODIUM POLYACRYLOYLDIMETHYL TAURATE,소듐폴리아크릴로일다이메틸타우레이트,EMULSION STABILISING;VISCOSITY CONTROLLING
SORBETH-30 TETRAOLEATE,SORBETH-30 TETRAOLEATE,솔베스-30테트라올리에이트,SURFACTANT - EMULSIFYING
CHAMOMILLA RECUTITA FLOWER/LEAF EXTRACT,CHAMOMILLA RECUTITA FLOWER/LEAF EXTRACT,마트리카리아꽃추출물,ANTIMICROBIAL
METHYL TRIMETHICONE,METHYL TRIMETHICONE,메틸트라이메티콘,HAIR CONDITIONING;SOLVENT;SKIN CONDITIONING - MISCELLANEOUS
THEOBROMA CACAO SEED BUTTER,THEOBROMA CACAO SEED BUTTER,카카오꽃추출물,SKIN CONDITIONING - EMOLLIENT;FRAGRANCE;SKIN CONDITIONING;SKIN PROTECTING
CHLORPHENESIN,CHLORPHENESIN,클로페네신,ANTIMICROBIAL;PRESERVATIVE
3-O-ETHYL ASCORBIC ACID,3-O-ETHYL ASCORBIC ACID,3-O-에틸아스코빅애씨드,SKIN CONDITIONING
GLYCERYL STEARATE SE,GLYCERYL STEARATE SE,글리세릴스테아레이트에스이,SURFACTANT - EMULSIFYING
COCO-GLUCOSIDE,COCO-GLUCOSIDE,C10-16알킬글루코사이드,CLEANSING;FOAMING;SURFACTANT - CLEANSING
CYCLOPENTASILOXANE,CYCLOPENTASILOXANE,사이클로펜타실록세인,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;SKIN CONDITIONING;SOLVENT
ASPARTIC ACID,ASPARTIC ACID,아스파틱애씨드,ANTISTATIC;HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING
COCO-BETAINE,COCO-BETAINE,코코-베타인,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
TRISODIUM EDTA,TRISODIUM EDTA,트라이소듐이디티에이,CHELATING
CI 77891,CI 77891,티타늄디옥사이드,COLORANT
POLYMETHYLSILSESQUIOXANE,POLYMETHYLSILSESQUIOXANE,폴리메틸실세스퀴옥세인,OPACIFYING
OENOTHERA BIENNIS FLOWER/LEAF/STEM EXTRACT,OENOTHERA BIENNIS FLOWER/LEAF/STEM EXTRACT,도꼬마리열매/잎/줄기추출물,SKIN CONDITIONING
BIOSACCHARIDE GUM-1,BIOSACCHARIDE GUM-1,바이오사카라이드검-1,SKIN CONDITIONING
CERAMIDE EOP,CERAMIDE EOP,세라마이드이오피,HAIR CONDITIONING;SKIN CONDITIONING
SODIUM METHYL COCOYL TAURATE,SODIUM METHYL COCOYL TAURATE,소듐메틸코코일타우레이트,SURFACTANT - CLEANSING
ANHYDROXYLITOL,ANHYDROXYLITOL,안하이드로자일리톨,HUMECTANT;SKIN CONDITIONING
XYLITYLGLUCOSIDE,XYLITYLGLUCOSIDE,자일리틸글루코사이드,HUMECTANT;SKIN CONDITIONING
SOLANUM MELONGENA ROOT EXTRACT,SOLANUM MELONGENA ROOT EXTRACT,가지뿌리추출물,SKIN CONDITIONING
GLYCERYL STEARATE CITRATE,GLYCERYL STEARATE CITRATE,글리세릴스테아레이트시트레이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING
THREONINE,THREONINE,트레오닌,ANTISTATIC;HAIR CONDITIONING;HAIR WAVING OR STRAIGHTENING
PHYTOSTEROLS,PHYTOSTEROLS,피토스테롤,SKIN CONDITIONING
COCCINIA INDICA FRUIT EXTRACT,COCCINIA INDICA FRUIT EXTRACT,아이비고드열매추출물,SKIN CONDITIONING
C14-22 ALCOHOLS,C14-22 ALCOHOLS,C14-22알코올,EMULSION STABILISING
TRISODIUM ETHYLENEDIAMINE DISUCCINATE,TRISODIUM ETHYLENEDIAMINE DISUCCINATE,트라이소듐에틸렌다이아민다이석시네이트,CHELATING
PALMITOYL TRIPEPTIDE-5,PALMITOYL TRIPEPTIDE-5,팔미토일트라이펩타이드-5,SKIN CONDITIONING - MISCELLANEOUS
PINUS PALUSTRIS LEAF EXTRACT,PINUS PALUSTRIS LEAF EXTRACT,대왕소나무잎추출물,TONIC
